igralec,ekipa,passing_yards,passing_td,passing_att,passing_cmp,passing_int,sacks,rushing_yards,rushing_td,rushing_att,fumbles,receiving_yards,receiving_td,receptions,targets,def_interceptions,def_sacks,pozicija,starost,tekme
Kalia Davis,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,27,17
Kalif Raymond,DET,0,0,0,0,0,0,19,0,2,0,289,1,24,30,0,0,WR,31,15
Kamal Hadden,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,10
Kamari Lassiter,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,CB,22,16
Kameron Johnson,TAM,0,0,0,0,0,0,13,0,2,2,64,1,4,7,0,0,WR,23,17
Kamren Curl,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,S,26,17
Kamren Kinchens,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,S,23,17
Kareem Hunt,KAN,0,0,0,0,0,0,611,8,163,2,143,1,18,25,0,0,RB,30,17
Karene Reid,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,25,10
Karl Brooks,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,25,16
Kayshon Boutte,NWE,0,0,0,0,0,0,0,0,0,0,551,6,33,46,0,0,WR,23,14
Kayvon Thibodeaux,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,25,10
Ke'Shawn Williams,CIN,0,0,0,0,0,0,10,0,2,0,5,0,1,1,0,0,WR,24,3
Ke'Shawn Williams,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,24,8
KeAndre Lambert-Smith,LAC,0,0,0,0,0,0,0,0,0,0,51,1,5,12,0,0,WR,24,10
Keaton Mitchell,BAL,0,0,0,0,0,0,341,1,59,1,63,0,9,12,0,0,RB,23,13
Kedon Slovis,ARI,-2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,QB,24,2
Keeanu Benton,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,24,17
Keenan Allen,LAC,0,0,0,0,0,0,0,0,0,2,777,4,81,122,0,0,WR,33,17
Kei'Trel Clark,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,14
Keidron Smith,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,26,3
Keion White,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,26,14
Keisean Nixon,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,28,17
Keith Taylor,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,27,2
Kelee Ringo,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,23,17
Keleki Latu,BUF,0,0,0,0,0,0,0,0,0,0,35,0,4,4,0,0,TE,23,5
Kemon Hall,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,28,4
Kendall Milton,CIN,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,RB,23,1
Kendall Sheffield,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,29,2
Kendall Williamson,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,25,17
Kendell Brooks,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,25,11
Kendre Miller,NOR,0,0,0,0,0,0,193,1,47,0,30,0,5,5,0,0,RB,23,7
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,0,0,551,0,37,53,0,0,WR,30,16
Kene Nwangwu,NYJ,0,0,0,0,0,0,49,0,13,0,0,0,0,1,0,0,RB,27,12
Kenneth Gainwell,PIT,0,0,0,0,0,0,537,5,114,2,486,3,73,85,0,0,RB,26,17
Kenneth Grant,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,22,17
Kenneth Murray,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLB,27,17
Kenneth Walker III,SEA,0,0,0,0,0,0,1027,5,221,1,282,0,31,36,0,0,RB,25,17
Kenny Clark,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,30,17
Kenny Moore,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,30,14
Kenny Pickett,LVR,188,1,45,28,2,8,22,0,5,1,0,0,0,0,0,0,QB,27,6
Kentavius Street,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,29,7
Keon Coleman,BUF,0,0,0,0,0,0,0,0,0,1,404,4,38,59,0,0,WR,22,13
Keondre Jackson,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,23,12
Keonta Jenkins,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,23,3
Kerby Joseph,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,S,25,6
Kevin Austin,NOR,0,0,0,0,0,0,0,0,0,0,140,1,13,23,0,0,WR,25,8
Kevin Byard,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,DB,32,17
Kevin Givens,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,28,5
Kevin Knowles,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,22,13
Kevin Winston,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,22,10
Keyon Martin,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,13
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,0,0,31,0,3,10,0,0,WR,30,12
Khalen Saunders,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,29,9
Khalid Kareem,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,27,4
Khalil Dorsey,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,27,11
Khalil Herbert,NYJ,0,0,0,0,0,0,52,0,16,0,4,0,1,4,0,0,RB,27,7
Khalil Mack,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,34,12
Khalil Shakir,BUF,0,0,0,0,0,0,5,0,1,1,719,4,72,95,0,0,WR,25,16
Khristian Boyd,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,25,4
Khyiris Tonga,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,29,14
Kimani Vidal,LAC,0,0,0,0,0,0,643,3,155,1,136,1,16,22,0,0,RB,24,13
Kindle Vildor,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,28,12
Kingsley Enagbare,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,25,17
Kingsley Jonathan,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,27,1
Kirk Cousins,ATL,1721,10,269,166,5,13,7,1,14,3,0,0,0,0,0,0,QB,37,10
Kitan Crawford,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,24,15
Kitan Oladapo,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,25,17
Ko Kieft,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,27,3
Kobe King,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,22,14
Kobee Minor,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,23,4
Kobie Turner,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DE,26,17
Konata Mumpfield,LAR,0,0,0,0,0,0,0,0,0,0,92,1,10,23,0,0,WR,23,17
Kool-Aid McKinstry,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,CB,23,17
Korie Black,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,23,9
Kris Abrams-Draine,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,17
Kris Jenkins,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,24,14
Kristian Fulton,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,27,8
Kristian Welch,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,27,8
Krys Barnes,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,27,7
Kwity Paye,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,27,17
Kyle Allen,DET,0,0,2,0,0,0,-3,0,3,0,0,0,0,0,0,0,QB,29,3
Kyle Dugger,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,S,29,16
Kyle Hamilton,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,24,16
Kyle Juszczyk,SFO,0,0,0,0,0,0,-3,0,2,0,213,2,24,28,0,0,FB,34,17
Kyle Kennard,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,24,5
Kyle Monangai,CHI,0,0,0,0,0,0,783,5,169,0,164,0,18,30,0,0,RB,23,17
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,0,0,928,5,88,118,0,0,TE,25,17
Kyle Van Noy,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OLB,34,15
Kyle Williams,NWE,0,0,0,0,0,0,3,0,2,0,209,3,10,21,0,0,WR,23,17
Kylen Granson,PHI,0,0,0,0,0,0,0,0,0,0,40,0,7,9,0,0,TE,27,17
Kyler Gordon,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,26,3
Kyler Murray,ARI,962,6,161,110,3,16,173,1,29,1,0,0,0,0,0,0,QB,28,5
Kyren Williams,LAR,0,0,0,0,0,0,1252,10,259,2,281,3,36,50,0,0,RB,25,17
Kyu Blu Kelly,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,CB,24,13
Kyzir White,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,29,1
L'Jarius Sneed,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,28,7
L.J. Collier,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,30,4
LaBryan Ray,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,28,13
LaCale London,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,28,13
LaJohntay Wester,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,23,17
Ladd McConkey,LAC,0,0,0,0,0,0,0,0,0,0,789,6,66,106,0,0,WR,24,16
Laiatu Latu,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,DE,25,16
Laken Tomlinson,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LG,33,10
Lamar Jackson,BAL,2549,21,302,192,7,36,349,2,67,7,0,0,0,0,0,0,QB,28,13
Laquon Treadwell,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,30,10
Larrell Murchison,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,28,16
Larry Borom,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,26,16
Larry Ogunjobi,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,31,10
Lathan Ransom,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,23,16
Lavonte David,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LB,35,17
LeQuint Allen,JAX,0,0,0,0,0,0,94,0,23,0,54,0,10,11,0,0,RB,21,17
League Average,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Leki Fotu,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,27,8
Leo Chenal,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LB,25,14
Leonard Floyd,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,33,15
Leonard Taylor,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,26,5
Leonard Williams,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,31,17
Levi Drake Rodriguez,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,25,16
Lew Nichols,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RB,24,1
Liam McCullough,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,28,17
Lil'Jordan Humphrey,2TM,0,0,0,0,0,0,0,0,0,0,156,1,13,25,0,0,WR,27,10
Logan Cooke,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,30,17
Logan Hall,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,25,17
Logan Lee,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,25,7
Logan Wilson,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,29,15
Lonnie Johnson Jr.,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,30,9
Loren Strickland,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,25,2
Lucas Krull,DEN,0,0,0,0,0,0,0,0,0,0,15,0,2,4,0,0,TE,27,3
Lukas Van Ness,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,24,9
Luke Farrell,SFO,0,0,0,0,0,0,0,0,0,1,85,2,11,14,0,0,TE,28,17
Luke Fortner,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,27,17
Luke Gifford,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,30,17
Luke McCaffrey,WAS,0,0,0,0,0,0,0,0,0,0,203,3,11,15,0,0,WR,24,9
Luke Musgrave,GNB,0,0,0,0,0,0,0,0,0,1,252,0,24,31,0,0,TE,25,17
Luke Rhodes,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,33,17
Luke Schoonmaker,DAL,0,0,0,0,0,0,0,0,0,0,132,0,14,23,0,0,TE,27,17
Luke Wypler,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C,24,17
Luther Burden,CHI,0,0,0,0,0,0,37,0,6,0,652,2,47,60,0,0,WR,22,15
M.J. Stewart,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,30,9
Maason Smith,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,23,13
Mac Jones,SFO,2151,13,289,201,6,16,60,0,36,4,0,0,0,0,0,0,QB,27,11
Mac McWilliams,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,5
Mack Hollins,NWE,0,0,0,0,0,0,4,0,1,1,550,2,46,65,0,0,WR,32,15
Mack Wilson,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LB,27,8
Maema Njongmeta,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,15
Malachi Corley,CLE,0,0,0,0,0,0,127,0,13,0,79,0,11,14,0,0,WR,23,13
Malachi Moore,NYJ,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,DB,24,17
Malaki Starks,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,S,22,17
Malcolm Koonce,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,27,17
Malcolm Roach,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,27,12
Malcolm Rodriguez,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,26,7
Maliek Collins,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,30,12
Malik Cunningham,DET,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,WR,27,1
Malik Davis,DAL,0,0,0,0,0,0,250,2,52,0,16,0,2,5,0,0,RB,27,10
Malik Harrison,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,27,11
Malik Heath,GNB,0,0,0,0,0,0,0,0,0,0,86,0,6,7,0,0,WR,25,11
Malik Hooker,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,29,12
Malik Mustapha,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,23,12
Malik Nabers,NYG,0,0,0,0,0,0,0,0,0,0,271,2,18,35,0,0,WR,22,4
Malik Turner,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,WR,29,3
Malik Washington,MIA,0,0,0,0,0,0,110,1,17,1,317,3,46,65,0,0,WR,24,17
Malik Willis,GNB,422,3,35,30,0,3,123,2,22,2,0,0,0,0,0,0,QB,26,4
Marcelino McCrary-Ball,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,26,5
Marco Wilson,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,26,4
Marcus Davenport,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,29,8
Marcus Epps,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,29,12
Marcus Harris,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,14
Marcus Jones,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,CB,27,17
Marcus Mariota,WAS,1695,10,227,139,7,16,297,1,50,6,0,0,0,0,0,0,QB,32,11
Marcus Maye,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,32,1
Marcus Williams,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,29,3
Mario Edwards,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,31,14
Marist Liufau,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,17
Mark Andrews,BAL,0,0,0,0,0,0,48,1,10,1,422,5,48,70,0,0,TE,30,17
Mark Robinson,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,26,6
Markees Watts,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,26,15
Markquese Bell,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,26,17
Marlon Davidson,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,27,1
Marlon Humphrey,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,CB,29,15
Marlon Tuipulotu,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,26,3
Marlowe Wax,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,23,17
Marques Sigle,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,23,15
Marquez Valdes-Scantling,2TM,0,0,0,0,0,0,0,0,0,1,120,1,14,29,0,0,WR,31,10
Marquez Valdes-Scantling,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,31,5
Marquise Brown,KAN,0,0,0,0,0,0,0,0,0,1,587,5,49,74,0,0,WR,28,16
Marshawn Kneeland,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,24,7
Marshon Lattimore,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,29,9
Marte Mapu,NWE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,LB,26,17
Marvin Harrison Jr.,ARI,0,0,0,0,0,0,0,0,0,0,608,4,41,73,0,0,WR,23,12
Marvin Mims,DEN,0,0,0,0,0,0,78,1,12,2,322,1,37,51,0,0,WR,23,15
Mason Graham,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,22,17
Mason Kinsey,TEN,0,0,0,0,0,0,0,0,0,0,48,0,2,4,0,0,WR,27,10
Mason Rudolph,PIT,310,2,52,38,2,2,6,0,7,1,0,0,0,0,0,0,QB,30,5
Mason Taylor,NYJ,0,0,0,0,0,0,0,0,0,0,369,1,44,65,0,0,TE,21,13
Mason Tipton,NOR,0,0,0,0,0,0,18,0,4,1,76,0,11,17,0,0,WR,25,14
Matt Dickerson,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,30,8
Matt Haack,ARI,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,P,31,7
Matt Judon,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,33,13
Matt Milano,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,31,12
Matt Prater,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,41,15
Matthew Butler,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,26,12
Matthew Golden,GNB,0,0,0,0,0,0,49,0,10,0,361,0,29,44,0,0,WR,22,14
Matthew Orzech,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,30,17
Matthew Stafford,LAR,4707,46,597,388,8,23,1,0,29,7,0,0,0,0,0,0,QB,37,17
Maurice Hurst Jr.,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,30,2
Max Brosmer,MIN,328,0,71,47,4,14,11,0,7,2,0,0,0,0,0,0,QB,24,7
Max Melton,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,23,10
Maxwell Hairston,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,CB,22,11
Maxx Crosby,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DE,28,15
Mazi Smith,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,24,5
McKinnley Jackson,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,24,9
Mecole Hardman,BUF,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,WR,27,2
Mekhi Blackmon,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,CB,26,17
Mekhi Wingo,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,22,2
Micah McFadden,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,25,1
Micah Parsons,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,26,14
Micah Robinson,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,23,9
Michael Bandy,DEN,0,0,0,0,0,0,0,0,0,1,50,1,4,4,0,0,WR,28,4
Michael Carter,ARI,0,0,0,0,0,0,333,1,92,0,267,0,33,45,0,0,RB,26,13
Michael Carter II,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,26,13
Michael Danna,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DE,28,15
Michael Davis,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,30,11
Michael Hall,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,22,9
Michael Hoecht,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,28,2
Michael Jackson,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,CB,28,17
Michael Mayer,LVR,0,0,0,0,0,0,0,0,0,1,328,1,35,50,0,0,TE,24,13
Michael Penix,ATL,1982,9,276,166,3,13,70,1,21,4,0,0,0,0,0,0,QB,25,9
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,0,0,784,7,80,111,0,0,WR,28,17
Michael Wilson,ARI,0,0,0,0,0,0,0,0,0,0,1006,7,78,126,0,0,WR,25,17
Micheal Clemons,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,28,16
Mike Brown,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,26,9
Mike Edwards,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,29,6
Mike Evans,TAM,0,0,0,0,0,0,0,0,0,0,368,3,30,62,0,0,WR,32,8
Mike Ford,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,30,17
Mike Gesicki,CIN,0,0,0,0,0,0,0,0,0,0,307,2,28,42,0,0,TE,30,13
Mike Green,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,22,17
Mike Hilton,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,31,2
Mike Hughes,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,28,12
Mike Morris,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,24,17
Mike Pennel,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,34,16
Mike Sainristil,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,CB,25,17
Miles Battle,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,25,5
Miles Killebrew,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,32,5
Miles Sanders,DAL,0,0,0,0,0,0,117,1,20,1,30,0,8,8,0,0,RB,28,4
Milton Williams,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,26,12
Minkah Fitzpatrick,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,29,14
Mitch Wishnowsky,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,33,13
Mitchell Evans,CAR,0,0,0,0,0,0,1,0,1,0,171,2,19,25,0,0,TE,22,17
Mitchell Fraboni,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,29,17
Mitchell Tinsley,CIN,0,0,0,0,0,0,0,0,0,0,116,2,8,24,0,0,WR,26,17
Mitchell Trubisky,BUF,313,4,35,25,0,0,6,0,9,0,0,0,0,0,0,0,QB,31,4
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,0,0,117,1,13,20,0,0,TE,32,17
Mohamoud Diabate,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,17
Moliki Matavao,NOR,0,0,0,0,0,0,0,0,0,0,10,0,2,2,0,0,TE,22,6
Montaric Brown,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,CB,26,15
Montez Sweat,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,29,17
Monty Rice,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,26,1
Moro Ojomo,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,24,17
Mykal Walker,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,28,14
Mykel Williams,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,21,9
Myles Bryant,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,27,11
Myles Garrett,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,30,17
Myles Gaskin,SEA,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,RB,28,1
Myles Harden,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,16
Myles Murphy,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,23,17
Myles Price,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,24,16
Nahshon Wright,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,CB,27,17
