igralec,ekipa,passing_yards,passing_td,passing_att,passing_cmp,passing_int,sacks,rushing_yards,rushing_td,rushing_att,fumbles,receiving_yards,receiving_td,receptions,targets,def_interceptions,def_sacks,pozicija,starost,tekme
Javon Bullard,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,23,17
Javon Hargrave,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,32,16
Javon Kinlaw,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,28,17
Javon Solomon,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,24,17
Javontae Jean-Baptiste,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,25,3
Javonte Williams,DAL,0,0,0,0,0,0,1201,11,252,2,137,2,35,51,0,0,RB,25,16
Jawhar Jordan,HOU,0,0,0,0,0,0,193,0,43,0,34,0,7,7,0,0,RB,26,4
Jaxon Smith-Njigba,SEA,0,0,0,0,0,0,36,0,7,3,1793,10,119,163,0,0,WR,23,17
Jaxson Dart,NYG,2272,15,339,216,5,35,487,9,86,5,0,0,0,0,0,0,QB,22,14
Jay Higgins,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,23,11
Jay Toia,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,22,5
Jay Tufele,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,26,12
Jay Ward,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,25,17
Jaycee Horn,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,CB,26,16
Jayden Daniels,WAS,1262,8,188,114,3,18,278,2,58,3,0,0,0,0,0,0,QB,25,7
Jayden Higgins,HOU,0,0,0,0,0,0,0,0,0,0,525,6,41,68,0,0,WR,23,17
Jayden Reed,GNB,0,0,0,0,0,0,28,0,3,0,207,1,19,22,0,0,WR,25,7
Jaydon Blue,DAL,0,0,0,0,0,0,129,1,38,1,5,0,1,1,0,0,RB,21,5
Jaylan Ford,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,17
Jaylen Harrell,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,23,17
Jaylen McCollough,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,25,17
Jaylen Reed,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,22,7
Jaylen Waddle,MIA,8,0,1,1,0,0,28,0,2,1,910,6,64,100,0,0,WR,27,16
Jaylen Warren,PIT,0,0,0,0,0,0,958,6,211,1,333,2,40,45,0,0,RB,27,16
Jaylen Watson,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,CB,27,15
Jaylen Wright,MIA,0,0,0,0,0,0,288,2,70,2,44,0,5,9,0,0,RB,22,10
Jaylin Lane,WAS,0,0,0,0,0,0,7,0,1,3,225,0,16,32,0,0,WR,23,15
Jaylin Noel,HOU,0,0,0,0,0,0,12,0,6,0,292,2,26,35,0,0,WR,23,17
Jaylin Simpson,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,25,1
Jaylin Smith,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,22,4
Jaylinn Hawkins,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,S,28,15
Jaylon Carlies,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,3
Jaylon Johnson,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DB,26,7
Jaylon Jones,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,28,15
Jaylon Jones,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,23,10
Jeff Okudah,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,26,6
Jeffery Simmons,TEN,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,DT,28,15
Jeffrey Bassa,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,23,17
Jelani Woods,NYJ,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,TE,27,4
Jer'Zhan Newton,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,23,17
Jeremiah Moon,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,27,2
Jeremiah Pharms,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,29,3
Jeremiah Trotter Jr.,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,23,17
Jeremy Chinn,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,27,15
Jeremy Crawshaw,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,24,17
Jeremy McNichols,WAS,0,0,0,0,0,0,221,1,44,1,196,0,25,31,0,0,RB,30,17
Jeremy Reaves,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,29,17
Jeremy Ruckert,NYJ,0,0,0,0,0,0,0,0,0,0,179,1,23,29,0,0,TE,25,17
Jermaine Johnson II,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,26,14
Jerome Baker,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,29,17
Jerome Ford,CLE,0,0,0,0,0,0,73,0,24,0,103,0,26,32,0,0,RB,26,13
Jerrick Reed,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,25,8
Jerry Jeudy,CLE,0,0,0,0,0,0,5,0,1,1,602,2,50,106,0,0,WR,26,17
Jerry Tillery,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,29,17
Jessie Bates III,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,S,28,17
Jevon Holland,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,25,14
Ji'Ayir Brown,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,S,25,17
Jihaad Campbell,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LB,21,17
Jihad Ward,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,31,17
Jimmy Garoppolo,LAR,0,0,0,0,0,0,-10,0,9,0,0,0,0,0,0,0,QB,34,3
Jimmy Horn,CAR,0,0,0,0,0,0,69,0,8,0,108,0,11,15,0,0,WR,23,13
Joe Andreessen,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,25,17
Joe Bachie,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB/WLB,27,15
Joe Burrow,CIN,1809,17,259,173,5,17,41,0,14,0,0,0,0,0,0,0,QB,29,8
Joe Cardona,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,33,17
Joe Flacco,2TM,2479,15,416,251,10,18,35,1,21,3,0,0,0,0,0,0,QB,40,13
Joe Giles-Harris,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,28,10
Joe Milton,DAL,183,1,24,15,2,0,50,0,5,1,0,0,0,0,0,0,QB,25,4
Joe Tryon-Shoyinka,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,26,16
Joey Bosa,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,30,15
Joey Porter Jr.,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,25,14
Joey Slye,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,29,16
John Bates,WAS,0,0,0,0,0,0,0,0,0,0,103,1,11,16,0,0,TE,28,15
